Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Albanien;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;31,99;32,05;32,92;34,06;35,63;37,87;41,17;44,16;39,87;45,33;50,91;53,4;53,78;54,06
Albanien;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;37,33;37,71;39,08;40,47;42,44;45,24;49,4;53,2;48,47;55,3;62,29;65,57;66,06;66,42
Albanien;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;6,761;6,95;7,292;7,543;7,81;8,116;8,657;9,165;8,713;9,463;10,43;10,73;10,83;10,91
Albanien;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;27,84;28,53;29,73;30,83;32,3;33,91;36,58;38,91;35,49;39,54;43,85;45,49;45,81;46,02
Albanien;Heißgetränke;Umsatz pro Segment;Total;Millionen EUR (€);Statista;213,3;219,1;230,7;240,9;254,7;274,3;300,7;326,4;270,6;329,2;337,3;389,1;394,2;398,2
Albanien;Heißgetränke;Umsatz pro Segment;Kaffee;Millionen EUR (€);Statista;175,8;180,5;190;199,3;211,3;228,1;250,7;272,7;224;274,9;282,8;327,5;332,5;336,4
Albanien;Heißgetränke;Umsatz pro Segment;Kakao;Millionen EUR (€);Statista;5,451;6,413;7,508;7,977;8,513;8,947;9,775;10,62;9,85;11,42;11,53;13,15;13,46;13,69
Albanien;Heißgetränke;Umsatz pro Segment;Tee;Millionen EUR (€);Statista;32,01;32,11;33,15;33,68;34,84;37,32;40,19;43,05;36,69;42,84;42,96;48,52;48,29;48,11
Albanien;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;2,719;5,294;4,421;5,729;7,695;9,624;8,547;-17,096;21,656;2,461;15,357;1,311;1,015
Albanien;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;2,673;5,263;4,895;6,021;7,951;9,908;8,775;-17,858;22,723;2,874;15,806;1,527;1,173
